Copybook;Categoria;Qtd Fontes;Fontes que referenciam
PDD21002;2-DADOS/BANCO (WSD/PDD);16;OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGAA792D, OGAA920D, OGEV050D, OGEV434D, OGEV435D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, PGAA100D
WSD12012;2-DADOS/BANCO (WSD/PDD);16;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV005D, OGEV050D, OGEV430D, OGEV431D, OGEV441D, OGEV630D, OGEV635D, OGEV680D, OGEV690D, OGEV720D
WSD21002;2-DADOS/BANCO (WSD/PDD);16;OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGAA792D, OGAA920D, OGEV050D, OGEV434D, OGEV435D, OGEV444D, OGEV445D, OGEV446D, OGEV535D, OGEV630D, OGEV635D, PGAA100D
PDD01114;2-DADOS/BANCO (WSD/PDD);15;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV020D, OGEV021D, OGEV050D, OGEV445D, OGEV446D, OGEV630D, OGEV635D, OGEV690D, PGAA100D
PDD01115;2-DADOS/BANCO (WSD/PDD);15;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV020D, OGEV021D, OGEV050D, OGEV445D, OGEV446D, OGEV630D, OGEV635D, OGEV690D, PGAA100D
WSD01114;2-DADOS/BANCO (WSD/PDD);15;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV020D, OGEV021D, OGEV050D, OGEV445D, OGEV446D, OGEV630D, OGEV635D, OGEV690D, PGAA100D
WSD01115;2-DADOS/BANCO (WSD/PDD);15;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV020D, OGEV021D, OGEV050D, OGEV445D, OGEV446D, OGEV630D, OGEV635D, OGEV690D, PGAA100D
PDD21003;2-DADOS/BANCO (WSD/PDD);14;OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGAA792D, OGAA920D, OGEV050D, OGEV434D, OGEV435D, OGEV444D, OGEV445D, OGEV630D, OGEV635D, PGAA100D
WSD21003;2-DADOS/BANCO (WSD/PDD);14;OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGAA792D, OGAA920D, OGEV050D, OGEV434D, OGEV435D, OGEV444D, OGEV445D, OGEV630D, OGEV635D, PGAA100D
PDD01045;2-DADOS/BANCO (WSD/PDD);10;OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGEV020D, OGEV021D, OGEV050D, OGEV630D, OGEV635D, OGEV680D
PDD12017;2-DADOS/BANCO (WSD/PDD);10;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV050D, OGEV630D, OGEV635D, OGEV720D
PDTAB002;5-TABELAS;10;FGAA050D, OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGAA792D, OGEV050D, OGEV630D, OGEV635D, OGEV680D
WSD01045;2-DADOS/BANCO (WSD/PDD);10;OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGEV020D, OGEV021D, OGEV050D, OGEV630D, OGEV635D, OGEV680D
WSD12017;2-DADOS/BANCO (WSD/PDD);10;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV050D, OGEV630D, OGEV635D, OGEV720D
WSTAB002;5-TABELAS;10;FGAA050D, OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGAA792D, OGEV050D, OGEV630D, OGEV635D, OGEV680D
PDD01113;2-DADOS/BANCO (WSD/PDD);9;OGAA013D, OGAA018D, OGAA615D, OGEV432D, OGEV433D, OGEV436D, OGEV442D, OGEV443D, OGEV690D
PDTAB049;5-TABELAS;9;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV630D, OGEV635D, OGEV680D
PDTAB057;5-TABELAS;9;FGAA012D, FGAA032D, OGAA013D, OGAA255D, OGAA615D, OGAA792D, OGEV050D, OGEV630D, OGEV635D
WSD01113;2-DADOS/BANCO (WSD/PDD);9;OGAA013D, OGAA018D, OGAA615D, OGEV432D, OGEV433D, OGEV436D, OGEV442D, OGEV443D, OGEV690D
WSTAB049;5-TABELAS;9;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV630D, OGEV635D, OGEV680D
WSTAB057;5-TABELAS;9;FGAA012D, FGAA032D, OGAA013D, OGAA255D, OGAA615D, OGAA792D, OGEV050D, OGEV630D, OGEV635D
CODIGOS;9-OUTROS;7;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV005D
COMS;8-RUNTIME ONLINE;7;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D, OGEV005D
PDD01029;2-DADOS/BANCO (WSD/PDD);7;OGAA615D, OGEV005D, OGEV020D, OGEV431D, OGEV434D, OGEV444D, OGEV630D
PDD01034;2-DADOS/BANCO (WSD/PDD);7;OGEV431D, OGEV433D, OGEV434D, OGEV436D, OGEV441D, OGEV443D, OGEV444D
PDD01100;2-DADOS/BANCO (WSD/PDD);7;OGAA013D, OGAA018D, OGAA640D, OGEV430D, OGEV432D, OGEV442D, OGEV680D
WSD01029;2-DADOS/BANCO (WSD/PDD);7;OGAA615D, OGEV005D, OGEV020D, OGEV431D, OGEV434D, OGEV444D, OGEV630D
WSD01034;2-DADOS/BANCO (WSD/PDD);7;OGEV431D, OGEV433D, OGEV434D, OGEV436D, OGEV441D, OGEV443D, OGEV444D
WSD01100;2-DADOS/BANCO (WSD/PDD);7;OGAA013D, OGAA018D, OGAA640D, OGEV430D, OGEV432D, OGEV442D, OGEV680D
PDBLQ009;3-BLOQUEIO;6;FGAT006D, FGAT030D, OGAA018D, OGAA255D, OGAA640D, OGEV005D
PDD01071;2-DADOS/BANCO (WSD/PDD);6;OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGEV020D, OGEV021D
PDD01083;2-DADOS/BANCO (WSD/PDD);6;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGEV020D
PDD12006;2-DADOS/BANCO (WSD/PDD);6;OGEV020D, OGEV021D, OGEV050D, OGEV535D, OGEV630D, OGEV635D
WSBLQ009;3-BLOQUEIO;6;FGAT006D, FGAT030D, OGAA018D, OGAA255D, OGAA640D, OGEV005D
WSD01071;2-DADOS/BANCO (WSD/PDD);6;OGAA013D, OGAA018D, OGAA255D, OGAA640D, OGEV020D, OGEV021D
WSD01083;2-DADOS/BANCO (WSD/PDD);6;OGAA013D, OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGEV020D
WSD12006;2-DADOS/BANCO (WSD/PDD);6;OGEV020D, OGEV021D, OGEV050D, OGEV535D, OGEV630D, OGEV635D
PDD01061;2-DADOS/BANCO (WSD/PDD);5;OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D
